,0,1,2,3,4,5,6,7,8,9,10,11,tss,new_tss
5393,0.15823325157384643,-0.08185205190012944,-0.1338218950432117,0.1837128559070048,-0.0248903288906328,-0.006993201454551785,0.03226248324334888,0.03709417968444473,0.0037737625637726435,-0.07615094241895871,0.003408409694418182,-0.04807974017226433,1,1
25175,0.09511364396796539,-0.5046345951249052,0.08519075085873976,0.10225774138078289,0.1752938019264581,-0.056017535136658976,-0.0660793341832318,-0.0396280177767459,0.032872682984609145,0.055511900573421626,0.09152049986796115,-0.02089348576777165,0,0
19543,-0.04338544831576336,-0.19065624249345176,-0.17133249508548715,-0.11091233555240838,-0.17412089134991635,-0.035505121997180956,0.11507179937803767,0.019506891506687912,0.06985161770405322,-0.12574390853685008,-0.0516180682242213,-0.15018961180968804,0,0
15845,-0.46134030641166435,0.1533609462953183,-0.20254466139841942,-0.08867019122193633,-0.020994239989326348,-0.08188116093723073,0.10257371434171023,0.08199722126647113,-0.05927256712050943,0.018332115989475394,0.01841933415240735,0.040752137617135024,0,0
17207,-0.3393355325644335,0.1675610957262566,0.07995494151633854,0.3139462801654856,0.05864500140896077,-0.010181411758352566,-0.07757612901932609,0.09087829789792869,-0.011580584696163597,-0.011131040859245546,0.05848820351682586,0.08737036842003454,0,0
19137,0.006818604753461374,0.07679732566180104,0.01206195337827762,0.16358285835347225,-0.10169254562032325,-0.19675304780023367,0.10163329820770507,-0.07379868625550658,0.030311059606094305,-0.15625038299806038,-0.06193723434109106,-0.01015558038021272,0,0
20359,-0.24461553961633203,0.08609319335982084,0.19312348988932623,0.16307698915254942,-0.03183259137860011,0.05289406608519263,0.028363516143969647,0.00506164739333615,-0.01320121731622789,-0.07258869721813178,-0.09853462137722281,0.01013623206906291,0,0
12160,0.1654876709865591,0.14353177531400393,0.04232244655336403,0.04657342698000318,-0.045835853487044796,0.029263132682790925,-0.09243731407424924,-0.016954160742584982,-0.03367849884327165,-0.0461665224351153,-0.017253198353395553,-0.05631897725922969,1,1
19457,-0.02272054111631984,0.022918588106847944,0.04156617668538325,0.07967963717904841,0.16626467643686318,-0.05293949404547448,-0.06239997881669295,-0.04159058178622035,0.051635976013387166,-0.07048135085366586,0.05034993229866488,-0.10057693717228938,0,0
5014,0.20887877359411872,0.23222939813625232,0.031129857019280494,0.02702875469742743,0.08300031413207605,-0.11550065245911897,0.03212055149610799,-0.07057383074822737,0.01566632001381919,0.07364990386154767,-0.02264523159173694,-0.07049128174615012,1,1
